epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.7109,1.34568,2.03025,1.30765,0.93849,0.86431,0.92186,0.53983,1.37899,1.1572,1.1742,0.00332576,0.00332576,0.00332576
2,112.489,1.28786,1.10805,1.18436,0.9412,0.89127,0.92851,0.55378,1.35324,0.85306,1.21757,0.00663712,0.00663712,0.00663712
3,166.891,1.33211,0.96489,1.22535,0.91857,0.85473,0.89858,0.53779,1.41553,0.90084,1.23355,0.00992647,0.00992647,0.00992647
4,221.09,1.35357,0.92382,1.25604,0.93797,0.82889,0.90563,0.52077,1.52973,0.83859,1.28024,0.009901,0.009901,0.009901
5,275.288,1.32979,0.86893,1.25276,0.93493,0.85838,0.90599,0.53912,1.42325,0.81725,1.25162,0.009868,0.009868,0.009868
6,329.191,1.3005,0.80808,1.23973,0.94739,0.88022,0.91465,0.52838,1.4545,0.75857,1.28174,0.009835,0.009835,0.009835
7,383.203,1.28312,0.79353,1.23069,0.95962,0.90117,0.94162,0.59106,1.31143,0.68394,1.18529,0.009802,0.009802,0.009802
8,437.365,1.27225,0.75641,1.22829,0.9501,0.88077,0.92131,0.58604,1.27812,0.7066,1.17806,0.009769,0.009769,0.009769
9,491.271,1.26433,0.73925,1.2215,0.95938,0.89543,0.94185,0.58766,1.32552,0.67065,1.20147,0.009736,0.009736,0.009736
10,545.246,1.24961,0.71704,1.20787,0.96706,0.89854,0.94301,0.57885,1.36653,0.65241,1.21707,0.009703,0.009703,0.009703
11,599.215,1.2428,0.71695,1.20481,0.97329,0.90498,0.94484,0.62451,1.22157,0.64398,1.15693,0.00967,0.00967,0.00967
12,653.073,1.23155,0.69675,1.20108,0.96931,0.91229,0.95053,0.60221,1.31184,0.63594,1.19241,0.009637,0.009637,0.009637
13,706.909,1.22431,0.68418,1.19918,0.96203,0.91366,0.95057,0.61241,1.30287,0.60085,1.17552,0.009604,0.009604,0.009604
14,760.943,1.22485,0.69059,1.19551,0.96638,0.89493,0.93503,0.51384,1.54351,0.67488,1.30779,0.009571,0.009571,0.009571
