epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.8945,3.17865,5.00359,3.03377,0.00103,0.28689,0.00068,0.00022,3.78522,4.90872,3.21403,0.00330303,0.00330303,0.00330303
2,161.901,2.3194,3.18351,2.15161,0.33314,0.38739,0.21206,0.05871,2.59964,6.01026,2.70616,0.00661446,0.00661446,0.00661446
3,240.453,1.70479,1.6317,1.59478,0.33644,0.20786,0.17143,0.05863,2.29822,3.02838,3.00191,0.0099039,0.0099039,0.0099039
4,318.542,1.55121,1.25588,1.4742,0.76443,0.68341,0.70254,0.33668,1.77207,1.53317,1.78041,0.009901,0.009901,0.009901
5,396.597,1.45876,1.07432,1.42085,0.87279,0.75834,0.80825,0.39059,1.66382,1.27692,1.56063,0.009868,0.009868,0.009868
6,474.881,1.41335,1.00885,1.38019,0.92155,0.85862,0.89407,0.52827,1.42726,0.89643,1.36566,0.009835,0.009835,0.009835
7,552.739,1.39544,0.97544,1.37075,0.88271,0.82275,0.8728,0.46203,1.53541,1.26708,1.43199,0.009802,0.009802,0.009802
8,632.52,1.36539,0.9372,1.35972,0.88035,0.83355,0.88136,0.48961,1.52164,0.96643,1.39597,0.009769,0.009769,0.009769
9,712.178,1.34192,0.91139,1.34765,0.87774,0.86254,0.88556,0.52169,1.41073,0.93588,1.35596,0.009736,0.009736,0.009736
10,791.543,1.33841,0.8792,1.33947,0.94134,0.85034,0.89909,0.55106,1.347,0.8299,1.28412,0.009703,0.009703,0.009703
11,871.16,1.33197,0.87386,1.32674,0.95597,0.85292,0.90303,0.50352,1.5133,0.83307,1.39062,0.00967,0.00967,0.00967
12,950.87,1.3253,0.85716,1.33023,0.9236,0.87483,0.89881,0.50891,1.46573,0.83947,1.36032,0.009637,0.009637,0.009637
13,1031.02,1.28987,0.83756,1.30165,0.93979,0.88488,0.91244,0.52222,1.4054,0.79772,1.32905,0.009604,0.009604,0.009604
14,1110.24,1.2853,0.82995,1.30892,0.96068,0.88176,0.91682,0.52328,1.4829,0.74908,1.35824,0.009571,0.009571,0.009571
15,1188.8,1.27164,0.81038,1.29574,0.96613,0.89447,0.93303,0.57045,1.33593,0.71166,1.30158,0.009538,0.009538,0.009538
16,1267.52,1.26178,0.8061,1.29492,0.94735,0.89588,0.92286,0.59134,1.26368,0.73475,1.25047,0.009505,0.009505,0.009505
