epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.6623,1.36355,2.22416,1.30459,0.93553,0.84186,0.89483,0.5048,1.43798,1.88481,1.23046,0.00330303,0.00330303,0.00330303
2,155.3,1.25811,1.16284,1.18658,0.92376,0.84559,0.90021,0.44387,1.63557,1.13172,1.39265,0.00661446,0.00661446,0.00661446
3,231.378,1.3154,0.9743,1.20956,0.84228,0.74555,0.80146,0.44554,1.55638,2.09217,1.42963,0.0099039,0.0099039,0.0099039
4,307.478,1.35967,0.92761,1.2552,0.77059,0.65053,0.685,0.39079,1.56,2.15337,1.45096,0.009901,0.009901,0.009901
5,382.969,1.32412,0.84792,1.24657,0.91594,0.81133,0.89243,0.5147,1.40214,1.32106,1.27743,0.009868,0.009868,0.009868
6,457.755,1.28782,0.79322,1.22565,0.94695,0.83371,0.90121,0.52241,1.43247,1.0242,1.26236,0.009835,0.009835,0.009835
7,532.524,1.28781,0.78406,1.22804,0.92387,0.82732,0.8664,0.46297,1.64735,0.9879,1.35233,0.009802,0.009802,0.009802
8,606.361,1.26272,0.75762,1.21658,0.93159,0.86661,0.9127,0.50527,1.50333,0.78355,1.26956,0.009769,0.009769,0.009769
9,679.734,1.2452,0.73224,1.2108,0.92265,0.88282,0.91637,0.58364,1.28481,0.71054,1.18666,0.009736,0.009736,0.009736
10,753.652,1.24488,0.71442,1.20873,0.88834,0.82138,0.8354,0.36531,1.99621,0.89456,1.59186,0.009703,0.009703,0.009703
11,828.002,1.24091,0.70425,1.20528,0.96276,0.89751,0.94525,0.61158,1.29591,0.63694,1.18685,0.00967,0.00967,0.00967
12,901.404,1.23252,0.6972,1.20436,0.96547,0.8963,0.9401,0.57894,1.36492,0.63466,1.19446,0.009637,0.009637,0.009637
13,975.133,1.20297,0.68114,1.1754,0.96595,0.90709,0.94214,0.57268,1.30939,0.68056,1.19946,0.009604,0.009604,0.009604
14,1048.82,1.20286,0.67315,1.18273,0.97409,0.90315,0.94777,0.61003,1.25884,0.60335,1.17897,0.009571,0.009571,0.009571
15,1123.95,1.18886,0.66862,1.17393,0.94727,0.87346,0.92208,0.56795,1.3925,0.69436,1.2508,0.009538,0.009538,0.009538
16,1198.9,1.19163,0.65725,1.17038,0.9476,0.90544,0.93133,0.58866,1.30258,0.61817,1.17798,0.009505,0.009505,0.009505
17,1273.93,1.18643,0.64023,1.16258,0.96729,0.91862,0.95058,0.62093,1.24631,0.58145,1.1257,0.009472,0.009472,0.009472
18,1349.54,1.1728,0.63097,1.15889,0.9724,0.91229,0.95532,0.65557,1.16277,0.57961,1.10974,0.009439,0.009439,0.009439
19,1424.94,1.16687,0.63461,1.16012,0.97311,0.91138,0.95566,0.60728,1.31771,0.57356,1.20217,0.009406,0.009406,0.009406
20,1501.15,1.18166,0.62743,1.16343,0.97336,0.92051,0.95442,0.62582,1.22742,0.57024,1.13548,0.009373,0.009373,0.009373
21,1576.9,1.1513,0.61751,1.15355,0.97689,0.91092,0.94906,0.62061,1.23977,0.55964,1.14118,0.00934,0.00934,0.00934
22,1652.58,1.17552,0.62115,1.14544,0.97295,0.92097,0.95558,0.60024,1.34645,0.57178,1.16957,0.009307,0.009307,0.009307
23,1728.61,1.16,0.61752,1.15434,0.96803,0.91296,0.95507,0.63453,1.18868,0.54747,1.11898,0.009274,0.009274,0.009274
24,1804.07,1.14625,0.61623,1.1401,0.96659,0.91,0.94939,0.62817,1.22113,0.56013,1.15056,0.009241,0.009241,0.009241
25,1878.74,1.13762,0.5975,1.14525,0.98073,0.93019,0.96293,0.66274,1.14848,0.51814,1.09325,0.009208,0.009208,0.009208
26,1953.7,1.1451,0.59806,1.14181,0.97826,0.92487,0.95947,0.65195,1.14462,0.54209,1.09883,0.009175,0.009175,0.009175
27,2028.97,1.1633,0.60071,1.15021,0.97434,0.91948,0.9608,0.66185,1.14326,0.52405,1.10314,0.009142,0.009142,0.009142
28,2103.61,1.13998,0.58534,1.13936,0.97597,0.9276,0.95909,0.64929,1.16776,0.5311,1.10641,0.009109,0.009109,0.009109
29,2177.9,1.15044,0.58934,1.14364,0.98244,0.92599,0.95904,0.63618,1.24044,0.52049,1.13111,0.009076,0.009076,0.009076
30,2252.35,1.13003,0.58246,1.13504,0.97709,0.93536,0.96211,0.63922,1.24303,0.5058,1.12357,0.009043,0.009043,0.009043
31,2326.24,1.12791,0.57691,1.13365,0.97762,0.92143,0.96264,0.65787,1.15261,0.50459,1.09176,0.00901,0.00901,0.00901
