epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.3432,2.65663,7.58052,2.65171,0.62113,0.54898,0.59692,0.37117,2.6294,5.06805,2.23042,0.00330303,0.00330303,0.00330303
2,174.198,2.60301,3.0604,2.35955,0.80946,0.74966,0.84687,0.42985,3.15971,2.26927,2.69084,0.00661446,0.00661446,0.00661446
3,258.898,2.788,2.22636,2.52434,0.66063,0.56914,0.59949,0.34954,3.00926,7.2613,2.86482,0.0099039,0.0099039,0.0099039
4,344.058,2.87485,2.04505,2.6064,0.53597,0.60987,0.52412,0.25643,3.26768,9.42249,2.98057,0.009901,0.009901,0.009901
5,429.076,2.79848,1.80841,2.58021,0.86299,0.72797,0.82849,0.46856,3.0707,3.08473,2.74523,0.009868,0.009868,0.009868
6,513.092,2.71176,1.65625,2.54566,0.89085,0.824,0.90044,0.55932,2.68105,1.53363,2.46002,0.009835,0.009835,0.009835
7,597.259,2.70185,1.64351,2.55232,0.89697,0.79397,0.88943,0.54792,2.6343,1.92501,2.42795,0.009802,0.009802,0.009802
8,680.664,2.65896,1.54141,2.553,0.89062,0.82503,0.8933,0.49492,3.16763,1.42052,2.63468,0.009769,0.009769,0.009769
9,763.311,2.62221,1.50896,2.52095,0.93013,0.82711,0.91506,0.54635,2.75724,1.45236,2.49741,0.009736,0.009736,0.009736
10,847.625,2.59792,1.44231,2.48981,0.90808,0.85519,0.91323,0.53077,2.8494,1.29339,2.47523,0.009703,0.009703,0.009703
11,932.5,2.59014,1.42766,2.49839,0.93189,0.85336,0.91849,0.56059,2.83788,1.22704,2.49295,0.00967,0.00967,0.00967
12,1017.06,2.59221,1.40559,2.50576,0.9142,0.85667,0.92833,0.61087,2.5275,1.1533,2.35131,0.009637,0.009637,0.009637
13,1102.31,2.52013,1.37181,2.4746,0.92003,0.86194,0.92244,0.56799,2.54118,1.2913,2.37015,0.009604,0.009604,0.009604
14,1186.58,2.51543,1.34706,2.46642,0.91706,0.87885,0.93774,0.60145,2.61972,1.10669,2.44402,0.009571,0.009571,0.009571
15,1269.95,2.49489,1.30805,2.47609,0.9479,0.85747,0.93829,0.58777,2.62511,1.11389,2.41234,0.009538,0.009538,0.009538
