epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.6454,1.38165,2.24169,1.27832,0.86653,0.7862,0.83862,0.46676,1.39308,2.01796,1.13475,0.00330303,0.00330303,0.00330303
2,152.534,1.26293,1.16006,1.14866,0.9465,0.88579,0.9274,0.50512,1.48077,0.96925,1.23842,0.00661446,0.00661446,0.00661446
3,226.242,1.29901,0.97756,1.18234,0.88338,0.7926,0.86295,0.52213,1.34771,1.18,1.26783,0.0099039,0.0099039,0.0099039
4,299.432,1.35116,0.92537,1.21408,0.89567,0.83417,0.86691,0.44943,1.53236,1.12151,1.34471,0.009901,0.009901,0.009901
5,372.632,1.31313,0.8432,1.21172,0.86695,0.77524,0.84244,0.46894,1.43537,1.30363,1.23073,0.009868,0.009868,0.009868
6,445.507,1.2784,0.79868,1.18929,0.89288,0.8111,0.8564,0.42149,1.71332,0.99224,1.35816,0.009835,0.009835,0.009835
7,518.478,1.28191,0.7892,1.19663,0.9254,0.85199,0.89397,0.48673,1.58446,1.34074,1.32371,0.009802,0.009802,0.009802
8,591.673,1.25866,0.76665,1.19087,0.94234,0.87666,0.91866,0.52674,1.52311,0.72473,1.29459,0.009769,0.009769,0.009769
9,665.251,1.25234,0.74889,1.19256,0.9343,0.87703,0.91362,0.48598,1.5956,0.79756,1.33775,0.009736,0.009736,0.009736
10,738.941,1.24398,0.71695,1.18566,0.93797,0.87736,0.90896,0.47392,1.67316,0.80033,1.34232,0.009703,0.009703,0.009703
11,812.085,1.24693,0.71406,1.18902,0.97299,0.90178,0.9431,0.60343,1.27406,0.63458,1.1635,0.00967,0.00967,0.00967
12,885.523,1.24012,0.70307,1.19087,0.97713,0.89765,0.94348,0.60333,1.30398,0.64923,1.16797,0.009637,0.009637,0.009637
13,960.213,1.20873,0.68984,1.16456,0.95975,0.91275,0.94871,0.59869,1.25992,0.62058,1.1523,0.009604,0.009604,0.009604
14,1033.07,1.21336,0.6854,1.17467,0.96914,0.90392,0.94662,0.60432,1.29236,0.63081,1.16822,0.009571,0.009571,0.009571
15,1106.44,1.20133,0.67381,1.16444,0.96232,0.89847,0.94823,0.61702,1.24962,0.62774,1.16873,0.009538,0.009538,0.009538
16,1180.7,1.19509,0.66704,1.15925,0.95493,0.91777,0.95138,0.61406,1.26922,0.61506,1.16289,0.009505,0.009505,0.009505
17,1253.83,1.19523,0.65052,1.15586,0.96691,0.90407,0.9417,0.59048,1.33008,0.63491,1.18515,0.009472,0.009472,0.009472
18,1327,1.1868,0.64747,1.15545,0.96849,0.90955,0.94834,0.5899,1.35976,0.6263,1.21287,0.009439,0.009439,0.009439
19,1399.96,1.18032,0.64856,1.15311,0.96543,0.91549,0.94951,0.60116,1.30614,0.582,1.16107,0.009406,0.009406,0.009406
20,1473.92,1.1934,0.65095,1.15683,0.96781,0.90909,0.9468,0.57645,1.39019,0.60403,1.20954,0.009373,0.009373,0.009373
21,1547.15,1.16106,0.638,1.14355,0.96599,0.90863,0.94858,0.60665,1.27609,0.59011,1.15712,0.00934,0.00934,0.00934
22,1620.61,1.18988,0.63985,1.14409,0.97106,0.91777,0.95247,0.62315,1.26918,0.57661,1.14568,0.009307,0.009307,0.009307
23,1693.98,1.17061,0.62313,1.1485,0.97309,0.92188,0.95874,0.64827,1.18025,0.54757,1.11585,0.009274,0.009274,0.009274
24,1767.89,1.15944,0.63215,1.13182,0.9709,0.91439,0.95228,0.64585,1.18109,0.55811,1.12045,0.009241,0.009241,0.009241
25,1841.86,1.14625,0.6143,1.14134,0.9665,0.92262,0.95411,0.63382,1.22578,0.55609,1.12673,0.009208,0.009208,0.009208
26,1915.62,1.15482,0.61465,1.13487,0.97064,0.92051,0.95551,0.61995,1.25166,0.56917,1.14732,0.009175,0.009175,0.009175
27,1989.84,1.1677,0.61811,1.14282,0.98293,0.92325,0.96174,0.66322,1.14782,0.52472,1.10402,0.009142,0.009142,0.009142
28,2064.85,1.15201,0.5969,1.13814,0.97587,0.9228,0.96245,0.64541,1.18077,0.54108,1.11491,0.009109,0.009109,0.009109
29,2139.95,1.16208,0.60178,1.13749,0.97007,0.91802,0.95278,0.60002,1.34226,0.57894,1.18557,0.009076,0.009076,0.009076
30,2214.56,1.13613,0.59792,1.12577,0.98081,0.92188,0.96018,0.65168,1.20476,0.5264,1.11886,0.009043,0.009043,0.009043
