Model,Format,mAP50-95,Latency_ms_im,FPS,Size_MB
GhostYOLO,MNN,0.69,65.74,15.21,3.5
GhostYOLO,NCNN,0.69,62.26,16.06,3.5
GhostYOLO,ONNX,0.69,11.67,85.68,3.5
GhostYOLO,PyTorch,0.699,16.33,61.22,3.8
GhostYOLO,TensorRT,0.69,3.0,333.04,6.8
GhostYOLO,TorchScript,0.689,8.54,117.08,7.5
YOLO11n,MNN,0.714,73.8,13.55,5.0
YOLO11n,NCNN,0.715,69.05,14.48,5.1
YOLO11n,ONNX,0.713,10.92,91.55,5.1
YOLO11n,PyTorch,0.722,13.09,76.39,5.2
YOLO11n,TensorRT,0.714,2.68,373.0,8.7
YOLO11n,TorchScript,0.714,6.71,149.1,10.4
YOLOv10n,MNN,0.713,77.96,12.83,4.4
YOLOv10n,ONNX,0.712,11.54,86.63,4.5
YOLOv10n,PyTorch,0.72,13.78,72.59,5.5
YOLOv10n,TensorRT,0.713,2.27,441.29,7.8
YOLOv10n,TorchScript,0.713,7.32,136.64,9.2
YOLOv5u,MNN,0.706,71.57,13.97,4.9
YOLOv5u,NCNN,0.706,63.45,15.76,5.0
YOLOv5u,ONNX,0.706,6.99,143.1,4.9
YOLOv5u,PyTorch,0.712,11.12,89.89,5.1
YOLOv5u,TensorRT,0.706,2.52,395.94,7.5
YOLOv5u,TorchScript,0.706,5.11,195.5,10.0
YOLOv8n,MNN,0.709,76.15,13.13,5.8
YOLOv8n,NCNN,0.709,67.76,14.76,5.9
YOLOv8n,ONNX,0.709,10.82,92.44,5.9
YOLOv8n,PyTorch,0.718,10.51,95.12,6.0
YOLOv8n,TensorRT,0.709,2.63,379.68,8.2
YOLOv8n,TorchScript,0.709,4.79,208.7,11.9
