Model,Format,mAP50-95,Latency_ms_im,FPS,Size_MB
GhostYOLO,MNN,0.591,65.81,15.2,3.5
GhostYOLO,NCNN,0.591,61.71,16.2,3.5
GhostYOLO,ONNX,0.59,12.99,76.97,3.5
GhostYOLO,PyTorch,0.598,18.68,53.52,3.7
GhostYOLO,TensorRT,0.591,3.26,306.22,6.6
GhostYOLO,TorchScript,0.591,9.05,110.53,7.5
YOLO11n,MNN,0.63,83.25,12.01,5.0
YOLO11n,NCNN,0.63,75.42,13.26,5.1
YOLO11n,ONNX,0.628,13.26,75.42,5.1
YOLO11n,PyTorch,0.639,15.35,65.13,5.2
YOLO11n,TensorRT,0.628,3.2,312.13,8.6
YOLO11n,TorchScript,0.63,7.67,130.29,10.4
YOLOv10n,MNN,0.63,70.92,14.1,4.4
YOLOv10n,ONNX,0.63,12.44,80.38,4.5
YOLOv10n,PyTorch,0.64,14.03,71.27,5.5
YOLOv10n,TensorRT,0.63,2.74,364.66,7.6
YOLOv10n,TorchScript,0.63,7.37,135.66,9.2
YOLOv5u,MNN,0.619,77.7,12.87,4.9
YOLOv5u,NCNN,0.619,69.63,14.36,5.0
YOLOv5u,ONNX,0.619,9.4,106.4,4.9
YOLOv5u,PyTorch,0.632,13.87,72.12,5.0
YOLOv5u,TensorRT,0.618,2.59,386.43,7.8
YOLOv5u,TorchScript,0.619,6.27,159.39,10.0
YOLOv8n,MNN,0.631,85.43,11.71,5.8
YOLOv8n,NCNN,0.631,72.88,13.72,5.9
YOLOv8n,ONNX,0.632,13.64,73.29,5.9
YOLOv8n,PyTorch,0.64,13.09,76.37,6.0
YOLOv8n,TensorRT,0.632,2.97,336.35,8.6
YOLOv8n,TorchScript,0.631,5.82,171.66,11.9
